TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-03-02,40.95,44.9,40.61,42.62,0.0
2023-03-03,43.53,43.54,39.69,39.7,0.0
2023-03-06,40.3,40.77,37.25,37.77,0.0
2023-03-07,37.61,37.64,34.64,36.54,0.0
2023-03-09,27.72,35.77,27.51,32.43,0.0
2023-03-10,32.11,34.21,31.13,32.72,0.0
2023-03-13,37.45,40.92,31.04,35.67,0.0
2023-03-14,36.06,37.01,28.85,31.42,0.0
2023-03-15,40.25,41.64,32.84,36.46,0.0
2023-03-16,36.94,38.93,33.21,33.68,0.0
2023-03-17,34.91,34.96,30.17,32.03,0.0
2023-03-20,32.05,33.66,30.17,30.33,0.0
2023-03-21,31.06,32.8,29.68,32.62,0.0
2023-03-22,33.2,33.24,30.15,30.97,0.0
2023-03-23,31.85,34.69,31.77,32.1,0.0
2023-03-24,33.12,33.46,30.84,31.24,0.0
2023-03-27,30.86,32.4,29.65,31.99,0.0
2023-03-28,31.72,32.71,31.32,32.71,0.0
2023-03-29,32.07,33.03,31.93,32.57,0.0
2023-03-30,32.24,33.31,32.17,32.68,0.0
2023-03-31,32.71,33.67,31.89,33.57,0.0
2023-04-03,34.04,35.48,32.4,33.6,0.0
2023-04-04,33.85,35.55,32.24,34.4,0.0
2023-04-05,34.37,34.81,33.88,34.37,0.0
2023-04-06,33.38,35.14,33.16,34.83,0.0
2023-04-07,34.42,36.88,34.31,34.57,0.0
2023-04-10,32.31,33.73,31.5,33.35,0.0
2023-04-11,33.09,33.7,31.93,32.85,0.0
2023-04-12,32.55,34.88,32.22,34.77,0.0
2023-04-13,32.3,32.49,30.92,32.17,0.0
2023-04-14,32.3,33.29,30.72,31.69,0.0
2023-04-17,31.47,34.46,30.85,31.72,0.0
2023-04-18,31.94,31.94,30.6,31.01,0.0
2023-04-19,30.77,32.47,29.84,32.16,0.0
2023-04-20,31.77,32.7,30.85,31.18,0.0
2023-04-21,32.03,33.0,30.83,31.01,0.0
2023-04-24,31.3,32.47,30.75,31.44,0.0
2023-04-25,31.38,32.03,30.54,30.67,0.0
2023-04-26,30.55,30.81,29.84,30.4,0.0
2023-04-27,30.1,30.7,28.52,28.52,0.0
2023-04-28,28.46,29.02,26.39,27.47,0.0
2023-05-02,27.1,29.38,26.82,28.93,0.0
2023-05-03,29.0,30.97,28.49,30.97,0.0
2023-05-04,30.38,32.18,30.01,31.54,0.0
2023-05-05,31.32,32.71,28.49,32.52,0.0
2023-05-08,32.33,33.47,31.33,31.66,0.0
2023-05-10,31.21,32.79,28.27,30.67,0.0
2023-05-11,32.51,33.04,29.71,32.71,0.0
2023-05-12,31.61,34.37,29.46,33.42,0.0
2023-05-15,33.67,35.2,33.05,33.83,0.0
2023-05-16,32.94,34.91,32.3,34.84,0.0
2023-05-17,34.88,35.59,33.45,33.73,0.0
2023-05-18,33.81,34.12,31.68,33.62,0.0
2023-05-19,33.18,33.46,30.74,31.12,0.0
2023-05-22,31.51,34.0,30.54,32.36,0.0
2023-05-23,32.42,34.95,31.4,32.71,0.0
2023-05-24,32.48,33.22,29.99,31.37,0.0
2023-05-25,31.19,38.19,31.06,31.09,0.0
2023-05-26,31.0,31.2,29.55,29.81,0.0
2023-05-29,30.16,32.41,29.81,31.61,0.0
2023-05-30,34.26,34.83,30.75,30.84,0.0
2023-05-31,30.98,33.3,30.68,30.77,0.0
2023-06-01,33.24,33.24,30.99,31.96,0.0
2023-06-02,32.78,34.02,30.24,30.89,0.0
2023-06-05,33.87,34.62,30.93,32.99,0.0
2023-06-06,33.83,34.02,31.36,33.61,0.0
2023-06-07,34.07,34.36,31.11,31.21,0.0
2023-06-08,16.58,35.41,16.58,29.01,0.0
2023-06-09,13.39,38.46,13.39,33.38,0.0
2023-06-13,36.43,36.92,28.02,28.03,0.0
2023-06-14,28.0,28.9,25.5,28.77,0.0
2023-06-15,28.99,29.1,26.18,26.43,0.0
2023-06-16,26.5,26.67,24.69,25.69,0.0
2023-06-19,24.48,26.44,24.47,25.17,0.0
2023-06-20,25.16,25.75,24.7,25.58,0.0
2023-06-21,25.53,26.37,22.76,23.0,0.0
2023-06-22,22.4,23.81,22.08,23.4,0.0
2023-06-23,24.0,25.17,22.65,24.93,0.0
2023-06-26,24.78,31.35,23.63,26.64,0.0
2023-06-27,26.82,29.08,26.22,27.79,0.0
2023-06-28,27.96,29.69,26.14,29.69,0.0
2023-06-29,29.55,31.38,28.95,30.8,0.0
2023-06-30,32.5,32.7,31.24,31.89,0.0
2023-07-03,34.9,35.82,32.43,33.47,0.0
2023-07-04,33.65,35.57,33.23,33.65,0.0
2023-07-05,33.61,36.69,33.61,34.85,0.0
2023-07-06,34.05,35.11,32.2,33.76,0.0
2023-07-07,34.15,34.15,32.0,32.11,0.0
2023-07-10,30.49,32.37,26.71,26.93,0.0
2023-07-11,26.25,28.59,25.73,27.91,0.0
2023-07-12,28.93,30.94,26.08,27.64,0.0
2023-07-13,25.84,33.54,25.25,25.89,0.0
2023-07-14,28.67,32.04,27.36,28.19,0.0
2023-07-17,28.23,31.56,27.86,27.91,0.0
2023-07-18,28.69,28.74,27.08,28.47,0.0
2023-07-19,28.86,28.88,27.85,28.18,0.0
2023-07-20,27.87,28.12,26.61,26.97,0.0
2023-07-21,26.64,26.64,25.22,25.22,0.0
2023-07-24,24.81,27.61,24.69,26.22,0.0
2023-07-25,25.91,26.31,25.5,26.19,0.0
2023-07-26,26.6,26.8,25.67,25.95,0.0
2023-07-27,25.76,26.02,24.53,25.82,0.0
2023-07-28,25.52,25.52,23.37,24.11,0.0
2023-07-31,23.85,25.65,23.16,23.98,0.0
2023-08-01,23.02,24.21,22.17,23.9,0.0
2023-08-02,23.64,27.02,23.38,26.98,0.0
2023-08-03,26.72,26.78,24.81,25.48,0.0
2023-08-04,24.96,29.67,23.8,29.53,0.0
2023-08-07,29.44,32.72,28.8,31.71,0.0
2023-08-08,31.41,31.78,29.66,29.99,0.0
2023-08-09,29.5,30.07,28.3,28.67,0.0
2023-08-10,28.59,29.1,25.93,27.74,0.0
2023-08-11,28.37,28.43,25.15,26.64,0.0
2023-08-14,27.84,30.69,25.54,28.24,0.0
2023-08-15,27.99,31.85,27.14,27.59,0.0
2023-08-16,29.87,30.78,27.41,28.67,0.0
2023-08-17,28.86,30.05,27.95,29.52,0.0
2023-08-18,29.29,30.14,25.38,25.38,0.0
2023-08-21,25.57,27.5,24.75,25.03,0.0
2023-08-22,25.09,26.88,24.52,24.81,0.0
2023-08-23,25.85,27.2,24.59,26.55,0.0
2023-08-24,27.12,29.77,26.74,27.7,0.0
2023-08-25,29.76,29.84,26.06,28.71,0.0
2023-08-28,28.51,29.72,27.28,27.56,0.0
2023-08-29,27.39,28.03,26.02,26.03,0.0
2023-08-30,25.91,26.96,25.47,25.47,0.0
2023-08-31,25.3,25.34,24.01,24.57,0.0
2023-09-01,24.6,25.56,24.28,25.19,0.0
2023-09-04,25.14,25.38,22.91,23.94,0.0
2023-09-05,25.22,25.94,24.13,24.97,0.0
2023-09-06,26.13,27.67,25.52,27.09,0.0
2023-09-07,28.45,29.89,26.39,27.64,0.0
2023-09-08,31.71,31.72,25.78,27.66,0.0
2023-09-11,28.48,29.14,26.86,27.19,0.0
2023-09-12,30.12,30.12,26.96,27.34,0.0
2023-09-13,27.56,27.56,25.65,25.65,0.0
2023-09-14,21.09,29.63,21.03,29.6,0.0
2023-09-15,29.15,30.28,27.72,29.56,0.0
2023-09-18,29.62,30.97,26.76,27.66,0.0
2023-09-19,28.69,29.12,26.87,28.75,0.0
2023-09-20,30.34,32.46,29.22,30.24,0.0
2023-09-21,29.59,32.2,28.59,32.2,0.0
2023-09-22,32.41,32.41,29.16,29.32,0.0
2023-09-25,30.11,31.28,29.49,30.34,0.0
2023-09-26,30.78,32.39,30.42,31.45,0.0
2023-09-27,30.94,33.02,28.84,28.94,0.0
2023-09-28,29.46,30.58,28.35,29.12,0.0
2023-09-29,29.13,30.04,27.48,27.78,0.0
2023-10-02,28.82,30.63,25.64,30.59,0.0
2023-10-03,31.28,31.31,28.32,29.17,0.0
2023-10-04,30.03,31.01,28.57,30.51,0.0
2023-10-05,34.56,34.56,28.15,30.38,0.0
2023-10-06,32.12,32.15,28.1,28.78,0.0
2023-10-09,29.84,30.27,24.16,26.35,0.0
2023-10-10,24.87,28.66,24.78,26.68,0.0
2023-10-11,27.56,27.57,23.43,25.42,0.0
2023-10-12,26.33,28.9,24.52,24.82,0.0
2023-10-13,23.79,25.63,21.55,25.48,0.0
2023-10-16,23.89,29.0,23.89,26.33,0.0
2023-10-17,28.65,28.66,25.79,26.18,0.0
2023-10-18,25.27,28.59,25.25,26.55,0.0
2023-10-19,25.61,27.37,25.35,26.02,0.0
2023-10-20,25.71,27.28,21.15,21.61,0.0
2023-10-23,23.24,24.91,21.58,24.37,0.0
2023-10-24,25.13,26.37,24.12,26.24,0.0
2023-10-25,26.41,26.65,24.93,25.6,0.0
2023-10-26,25.78,26.78,24.75,25.56,0.0
2023-10-27,25.52,26.86,24.09,24.88,0.0
2023-10-30,24.43,25.96,24.42,24.96,0.0
2023-10-31,25.33,27.53,24.44,26.45,0.0
2023-11-01,27.61,28.87,25.27,25.3,0.0
2023-11-02,25.28,26.15,24.43,25.86,0.0
2023-11-03,26.72,27.08,23.78,24.33,0.0
2023-11-06,24.17,25.87,23.6,24.73,0.0
2023-11-07,24.96,25.84,24.35,25.41,0.0
2023-11-08,25.77,27.33,24.98,25.76,0.0
2023-11-09,24.1,27.53,22.31,23.13,0.0
2023-11-10,23.37,25.28,20.7,22.0,0.0
2023-11-13,24.02,25.69,14.84,21.3,0.0
2023-11-14,17.01,24.31,17.0,22.25,0.0
2023-11-15,22.46,27.13,18.87,20.51,0.0
2023-11-16,19.98,23.64,19.07,20.21,0.0
2023-11-17,22.31,22.64,19.68,19.94,0.0
2023-11-20,20.79,22.55,20.16,20.32,0.0
2023-11-21,20.15,22.06,20.15,21.84,0.0
2023-11-22,21.8,23.31,21.44,22.08,0.0
2023-11-23,22.97,23.14,21.67,21.88,0.0
2023-11-24,22.93,23.75,21.06,22.26,0.0
2023-11-27,22.37,25.07,21.82,24.5,0.0
2023-11-28,24.72,26.32,23.04,24.83,0.0
2023-11-29,25.04,26.04,23.84,25.06,0.0
2023-11-30,25.16,27.27,24.64,26.86,0.0
2023-12-01,27.16,29.19,25.65,26.55,0.0
2023-12-04,27.65,29.37,25.48,27.33,0.0
2023-12-05,27.77,28.86,26.55,27.28,0.0
2023-12-06,25.42,29.38,25.42,29.23,0.0
2023-12-07,29.14,31.24,26.72,27.14,0.0
2023-12-08,26.13,26.75,23.42,24.88,0.0
2023-12-11,24.65,26.86,22.36,26.04,0.0
2023-12-12,26.14,27.37,23.57,23.99,0.0
2023-12-13,24.55,27.35,23.01,24.03,0.0
2023-12-14,20.48,26.69,19.96,26.52,0.0
2023-12-15,20.76,26.03,20.76,23.25,0.0
2023-12-18,22.68,25.91,22.68,25.1,0.0
2023-12-19,22.44,28.68,22.42,25.8,0.0
2023-12-20,25.6,27.04,25.24,26.65,0.0
2023-12-21,25.97,31.71,24.15,25.25,0.0
2023-12-22,25.81,26.28,24.25,24.73,0.0
2023-12-25,23.57,27.07,22.68,26.28,0.0
2023-12-26,25.78,26.28,24.13,25.51,0.0
2023-12-27,24.92,26.97,24.87,26.09,0.0
2023-12-28,24.55,27.85,24.55,26.54,0.0
2023-12-29,27.49,28.61,26.5,27.7,0.0
2024-01-03,30.68,49.07,27.4,27.9,0.0
2024-01-04,40.91,40.91,26.23,28.59,0.0
2024-01-05,29.13,29.17,23.89,24.54,0.0
2024-01-08,24.78,26.32,23.77,24.76,0.0
2024-01-09,22.03,25.08,19.3,19.85,0.0
2024-01-10,20.23,21.96,20.23,21.03,0.0
2024-01-11,19.67,21.78,18.97,21.45,0.0
2024-01-12,22.93,24.95,22.21,23.07,0.0
2024-01-15,23.38,25.28,22.71,24.46,0.0
2024-01-16,23.36,24.88,23.08,23.83,0.0
2024-01-17,24.14,25.93,22.25,22.64,0.0
2024-01-18,22.54,23.65,21.81,22.04,0.0
2024-01-19,22.19,23.18,21.19,23.07,0.0
2024-01-22,22.78,24.16,22.59,23.73,0.0
2024-01-23,23.83,24.73,23.06,23.19,0.0
2024-01-24,22.96,23.89,22.34,22.44,0.0
2024-01-25,22.63,23.03,21.64,21.72,0.0
2024-01-26,21.19,22.89,21.06,22.48,0.0
2024-01-29,22.15,23.45,21.57,22.12,0.0
2024-01-30,22.6,22.67,21.43,21.81,0.0
2024-01-31,21.47,22.83,21.44,22.37,0.0
2024-02-01,21.83,22.48,20.67,20.71,0.0
2024-02-02,19.85,21.42,19.62,20.22,0.0
2024-02-05,20.41,22.64,20.01,20.85,0.0
2024-02-06,21.07,21.47,20.2,20.44,0.0
2024-02-07,20.59,21.85,20.38,21.17,0.0
2024-02-08,16.28,17.29,14.04,14.47,0.0
2024-02-09,14.65,15.79,11.99,14.13,0.0
2024-02-12,12.04,19.02,10.58,16.77,0.0
2024-02-13,17.41,21.97,14.94,16.91,0.0
2024-02-14,15.98,20.74,15.96,18.41,0.0
2024-02-15,18.03,21.81,17.68,21.01,0.0
2024-02-16,20.05,22.91,18.89,21.19,0.0
2024-02-19,21.37,23.46,20.52,22.73,0.0
2024-02-20,22.09,24.47,22.09,24.17,0.0
2024-02-21,23.74,25.37,23.26,24.08,0.0
2024-02-22,24.0,27.34,24.0,25.41,0.0
