open,close,high,low,value,volume,begin,end,end_time,time_diff
137.7,137.75,137.85,137.25,13472569.449999996,97796,2023-12-22 11:00:00,2023-12-22 11:59:59,11:59:59,0 days 00:00:01
138.55,137.8,138.65,137.5,20034162.30000001,145171,2023-12-25 11:00:00,2023-12-25 11:59:59,11:59:59,0 days 00:00:01
137.75,137.8,137.8,137.5,2185098.000000001,15876,2023-12-26 11:00:00,2023-12-26 11:59:59,11:59:59,0 days 00:00:01
138.35,138.65,138.8,138.2,8331212.65,60116,2023-12-27 11:00:00,2023-12-27 11:59:59,11:59:59,0 days 00:00:01
137.95,137.65,138.1,137.6,2980726.0999999996,21636,2023-12-28 11:00:00,2023-12-28 11:59:59,11:59:59,0 days 00:00:01
138.0,137.9,138.0,137.75,3160160.8,22920,2023-12-29 11:00:00,2023-12-29 11:59:59,11:59:59,0 days 00:00:01
139.05,139.15,139.25,138.9,2764363.1499999994,19874,2024-01-03 11:00:00,2024-01-03 11:59:59,11:59:59,0 days 00:00:01
140.05,140.15,140.3,139.85,2515460.65,17954,2024-01-04 11:00:00,2024-01-04 11:59:59,11:59:59,0 days 00:00:01
140.05,139.85,140.2,139.65,3621772.700000001,25893,2024-01-05 11:00:00,2024-01-05 11:59:59,11:59:59,0 days 00:00:01
140.85,140.85,140.95,140.75,2448815.5000000005,17384,2024-01-08 11:00:00,2024-01-08 11:59:59,11:59:59,0 days 00:00:01
140.9,141.25,141.25,140.8,8393823.85,59500,2024-01-09 11:00:00,2024-01-09 11:59:59,11:59:59,0 days 00:00:01
141.55,141.7,141.75,141.5,6813035.600000001,48100,2024-01-10 11:00:00,2024-01-10 11:59:59,11:59:59,0 days 00:00:01
141.45,141.55,141.55,141.25,3046658.6999999993,21539,2024-01-11 11:00:00,2024-01-11 11:59:59,11:59:59,0 days 00:00:01
142.05,142.15,142.2,141.85,2849686.0499999993,20070,2024-01-12 11:00:00,2024-01-12 11:59:59,11:59:59,0 days 00:00:01
142.85,142.6,142.9,142.5,7793028.599999999,54623,2024-01-15 11:00:00,2024-01-15 11:59:59,11:59:59,0 days 00:00:01
142.05,142.15,142.25,142.0,2992695.8500000206,21057,2024-01-16 11:00:00,2024-01-16 11:59:59,11:59:59,0 days 00:00:01
142.75,143.0,143.05,142.7,6346745.000000001,44421,2024-01-17 11:00:00,2024-01-17 11:59:59,11:59:59,0 days 00:00:01
142.95,142.9,143.0,142.8,1690254.549999999,11826,2024-01-18 11:00:00,2024-01-18 11:59:59,11:59:59,0 days 00:00:01
141.85,141.85,141.95,141.5,4334384.3500000015,30575,2024-01-19 11:00:00,2024-01-19 11:59:59,11:59:59,0 days 00:00:01
142.0,142.2,142.25,141.9,4727677.400000004,33255,2024-01-22 11:00:00,2024-01-22 11:59:59,11:59:59,0 days 00:00:01
142.3,142.4,142.65,142.3,2816970.250000001,19768,2024-01-23 11:00:00,2024-01-23 11:59:59,11:59:59,0 days 00:00:01
142.5,142.6,142.65,142.5,1470620.1000000003,10317,2024-01-24 11:00:00,2024-01-24 11:59:59,11:59:59,0 days 00:00:01
141.2,141.1,141.35,140.95,10212744.799999997,72417,2024-01-25 11:00:00,2024-01-25 11:59:59,11:59:59,0 days 00:00:01
141.6,141.75,141.75,141.5,4479311.349999997,31637,2024-01-26 11:00:00,2024-01-26 11:59:59,11:59:59,0 days 00:00:01
142.25,142.05,142.3,142.0,4724218.1,33233,2024-01-29 11:00:00,2024-01-29 11:59:59,11:59:59,0 days 00:00:01
142.55,142.75,142.8,142.55,8878867.650000002,62222,2024-01-30 11:00:00,2024-01-30 11:59:59,11:59:59,0 days 00:00:01
143.3,143.3,143.35,143.1,40955642.44999999,286018,2024-01-31 11:00:00,2024-01-31 11:59:59,11:59:59,0 days 00:00:01
144.35,144.3,144.6,144.1,6414391.049999998,44419,2024-02-01 11:00:00,2024-02-01 11:59:59,11:59:59,0 days 00:00:01
144.2,144.2,144.45,143.85,23683803.450000014,164482,2024-02-02 11:00:00,2024-02-02 11:59:59,11:59:59,0 days 00:00:01
144.2,144.2,144.75,143.85,70455434.65,488339,2024-02-05 11:00:00,2024-02-05 11:59:59,11:59:59,0 days 00:00:01
144.4,144.45,144.6,144.35,5965898.200000003,41306,2024-02-06 11:00:00,2024-02-06 11:59:59,11:59:59,0 days 00:00:01
145.1,145.35,145.45,144.95,7732317.050000012,53264,2024-02-07 11:00:00,2024-02-07 11:59:59,11:59:59,0 days 00:00:01
144.75,145.0,145.2,144.55,13247005.75000002,91550,2024-02-08 11:00:00,2024-02-08 11:59:59,11:59:59,0 days 00:00:01
144.15,144.65,144.65,144.1,5444714.6,37706,2024-02-09 11:00:00,2024-02-09 11:59:59,11:59:59,0 days 00:00:01
144.8,144.6,144.8,144.55,2967065.5,20510,2024-02-12 11:00:00,2024-02-12 11:59:59,11:59:59,0 days 00:00:01
145.6,145.55,145.65,145.5,2518238.750000001,17297,2024-02-13 11:00:00,2024-02-13 11:59:59,11:59:59,0 days 00:00:01
145.95,145.9,146.0,145.8,3361596.15,23046,2024-02-14 11:00:00,2024-02-14 11:59:59,11:59:59,0 days 00:00:01
145.15,145.1,145.4,145.05,1750504.0999999996,12057,2024-02-15 11:00:00,2024-02-15 11:59:59,11:59:59,0 days 00:00:01
146.4,146.25,146.6,146.25,4524783.3500000015,30901,2024-02-16 11:00:00,2024-02-16 11:59:59,11:59:59,0 days 00:00:01
144.85,145.0,145.15,144.8,3700136.200000062,25522,2024-02-19 11:00:00,2024-02-19 11:59:59,11:59:59,0 days 00:00:01
144.15,143.7,144.35,143.6,14515417.049999995,100720,2024-02-20 11:00:00,2024-02-20 11:59:59,11:59:59,0 days 00:00:01
142.45,141.7,142.45,141.3,16589165.849999994,116763,2024-02-21 11:00:00,2024-02-21 11:59:59,11:59:59,0 days 00:00:01
141.05,141.3,141.45,141.05,6077994.7,43013,2024-02-22 11:00:00,2024-02-22 11:59:59,11:59:59,0 days 00:00:01
